"trip_start_timestamp","trip_end_timestamp","time","trip_seconds","trip_miles","weather","wind","visibility"
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-19 00:53:00",180,0.9,"Drizzle Mostly cloudy",24,16
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-19 00:53:00",180,0.9,"Drizzle Mostly cloudy",24,16
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 00:53:00",216,0.65,"Passing clouds",9,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 00:53:00",216,0.65,"Passing clouds",9,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 01:53:00",216,0.65,"Passing clouds",0,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 01:53:00",216,0.65,"Passing clouds",0,14
"2016-11-14 05:00:00","2016-11-14 05:00:00","2016-11-14 04:53:00",240,0.6,"Passing clouds",15,16
"2016-11-14 05:00:00","2016-11-14 05:00:00","2016-11-14 04:53:00",240,0.6,"Passing clouds",15,16
"2016-11-13 14:00:00","2016-11-13 14:00:00","2016-11-13 13:53:00",240,0.5,"Passing clouds",26,16
"2016-11-13 14:00:00","2016-11-13 14:00:00","2016-11-13 13:53:00",240,0.5,"Passing clouds",26,16
"2016-11-14 05:00:00","2016-11-14 05:00:00","2016-11-14 05:53:00",240,0.6,"Passing clouds",13,16
"2016-11-14 05:00:00","2016-11-14 05:00:00","2016-11-14 05:53:00",240,0.6,"Passing clouds",13,16
"2016-11-13 14:00:00","2016-11-13 14:00:00","2016-11-13 14:53:00",240,0.5,"Scattered clouds",20,16
"2016-11-13 14:00:00","2016-11-13 14:00:00","2016-11-13 14:53:00",240,0.5,"Scattered clouds",20,16
"2016-11-14 14:15:00","2016-11-14 14:15:00","2016-11-14 14:53:00",268,1.06,"More clouds than sun",24,16
"2016-11-14 14:15:00","2016-11-14 14:15:00","2016-11-14 14:53:00",268,1.06,"More clouds than sun",24,16
"2016-11-14 14:15:00","2016-11-14 14:15:00","2016-11-14 13:53:00",268,1.06,"Broken clouds",20,16
"2016-11-14 14:15:00","2016-11-14 14:15:00","2016-11-14 13:53:00",268,1.06,"Broken clouds",20,16
"2016-11-19 04:15:00","2016-11-19 04:15:00","2016-11-19 03:53:00",294,1.26,"Drizzle Overcast",37,16
"2016-11-19 04:15:00","2016-11-19 04:15:00","2016-11-19 03:53:00",294,1.26,"Drizzle Overcast",37,16
"2016-11-19 04:15:00","2016-11-19 04:15:00","2016-11-19 04:53:00",294,1.26,"Drizzle Mostly cloudy",35,16
"2016-11-19 04:15:00","2016-11-19 04:15:00","2016-11-19 04:53:00",294,1.26,"Drizzle Mostly cloudy",35,16
"2016-11-12 20:15:00","2016-11-12 20:15:00","2016-11-12 20:53:00",300,0.9,"Passing clouds",9,16
"2016-11-12 20:15:00","2016-11-12 20:15:00","2016-11-12 20:53:00",300,0.9,"Passing clouds",9,16
"2016-11-18 20:15:00","2016-11-18 20:15:00","2016-11-18 20:53:00",300,0.94,"Overcast",37,16
"2016-11-12 20:15:00","2016-11-12 20:15:00","2016-11-12 19:53:00",300,0.9,"Passing clouds",9,16
"2016-11-18 20:15:00","2016-11-18 20:15:00","2016-11-18 19:53:00",300,0.94,"Overcast",46,16
"2016-11-18 20:15:00","2016-11-18 20:15:00","2016-11-18 19:53:00",300,0.94,"Overcast",46,16
"2016-11-18 20:15:00","2016-11-18 20:15:00","2016-11-18 20:53:00",300,0.94,"Overcast",37,16
"2016-11-12 20:15:00","2016-11-12 20:15:00","2016-11-12 19:53:00",300,0.9,"Passing clouds",9,16
"2016-11-18 16:30:00","2016-11-18 16:30:00","2016-11-18 16:53:00",345,0.75,"Partly cloudy",37,16
"2016-11-18 16:30:00","2016-11-18 16:30:00","2016-11-18 15:53:00",345,0.75,"Light rain Cloudy",43,16
"2016-11-18 16:30:00","2016-11-18 16:30:00","2016-11-18 15:53:00",345,0.75,"Light rain Cloudy",43,16
"2016-11-18 16:30:00","2016-11-18 16:30:00","2016-11-18 16:53:00",345,0.75,"Partly cloudy",37,16
"2016-11-19 19:45:00","2016-11-19 19:45:00","2016-11-19 19:53:00",360,1.2,"Clear",22,16
"2016-11-19 03:30:00","2016-11-19 03:45:00","2016-11-19 03:53:00",360,1,"Drizzle Overcast",37,16
